,Date,Open,High,Low,Close,NH20,NH60,NH200,NH250,NL20,NL60,NL200,NL250,diffNHNL20d,RatioNHNL200d,Threshold_line,diffShortNHNL,diffLongNHNL,diffShortLongNHNL,diffShortLongNHNL_MA120,Advanced,Unchanged,Declined,Total,AD Line
216,2021-09-29,1605.18994140625,1622.6199951171875,1604.4599609375,1616.97998046875,22,17,7,7,60,13,2,2,-5.596465390279823,0.8684328475855768,0.9051020951198911,4,5,-1,-4.808333333333334,255,207,191,653,-33.96541404770396
217,2021-09-30,1616.989990234375,1621.1500244140625,1601.7900390625,1605.6800537109375,28,17,8,7,44,9,2,2,-2.3564064801178204,0.8650995142522434,0.9034109736080127,8,6,2,-4.925,147,165,338,650,-35.0380754153492
218,2021-10-01,1600.5899658203125,1609.47998046875,1593.3199462890625,1605.1700439453125,21,16,8,8,76,19,3,3,-8.100147275405007,0.8615344518636516,0.9016767742589388,-3,5,-8,-5.033333333333333,183,222,240,645,-35.54364972360261
219,2021-10-04,1611.68994140625,1619.6199951171875,1610.9599609375,1614.47998046875,49,33,12,12,28,8,1,1,3.0927835051546393,0.8602524005816004,0.8999212073884976,25,11,14,-5.041666666666667,288,203,157,648,-34.74230281823322
220,2021-10-05,1612.5,1626.43994140625,1611.4200439453125,1624.239990234375,32,23,8,8,36,8,1,1,-0.5891016200294551,0.8614308517600514,0.8982357864215352,15,7,8,-5.091666666666667,215,206,230,651,-35.0114937692623
221,2021-10-06,1626.6500244140625,1631.81005859375,1617.239990234375,1619.47998046875,43,32,12,11,18,4,0,0,3.681885125184094,0.8672279532093268,0.896743602169549,28,12,16,-5.0,203,210,235,648,-35.40092767607129
222,2021-10-07,1627.1500244140625,1637.8199462890625,1624.5899658203125,1633.719970703125,30,25,10,8,9,2,0,0,3.0927835051546393,0.8755612865426602,0.8955291956953405,23,10,13,-4.85,319,198,129,646,-34.42380236714376
223,2021-10-08,1641.9200439453125,1644.1600341796875,1635.77001953125,1639.4100341796875,52,33,12,12,6,0,0,0,6.774668630338733,0.8777835087648823,0.8943888632952058,33,12,21,-4.683333333333334,273,178,195,646,-33.76368556691509
224,2021-10-11,1644.3800048828125,1646.5,1629.949951171875,1633.43994140625,53,37,14,14,10,1,0,0,6.332842415316642,0.8827835087648824,0.893415197561738,36,14,22,-4.516666666666667,193,194,262,649,-34.35853525704375
225,2021-10-12,1644.56005859375,1646.8499755859375,1637.489990234375,1643.6400146484375,60,41,13,12,19,3,1,1,6.0382916053019144,0.8815930325744062,0.892421690558429,38,12,26,-4.191666666666666,245,194,211,650,-33.940972118873034
226,2021-10-14,1647.56005859375,1648.6199951171875,1637.4200439453125,1640.969970703125,56,33,14,13,18,4,0,0,5.596465390279823,0.8815930325744062,0.89142818355512,29,14,15,-3.875,215,189,241,645,-34.31089387446894
227,2021-10-15,1646.3499755859375,1651.4100341796875,1635.1400146484375,1638.3399658203125,50,27,3,3,22,9,1,1,4.123711340206185,0.8774263659077396,0.8903652321073664,18,2,16,-3.7416666666666667,175,194,277,646,-35.03413444514852
228,2021-10-18,1641.969970703125,1648.0,1639.9200439453125,1643.9200439453125,56,27,6,6,26,10,1,0,4.418262150220913,0.8780757165570903,0.8893636082209404,17,5,12,-3.6666666666666665,271,191,185,647,-34.36486867830647
229,2021-10-19,1648.47998046875,1649.6600341796875,1627.1199951171875,1630.3900146484375,46,27,10,10,24,4,0,0,3.240058910162003,0.8822423832237569,0.8885008732234033,23,10,13,-3.5833333333333335,135,170,344,649,-35.4704102750916
230,2021-10-20,1633.8800048828125,1639.4100341796875,1632.6199951171875,1637.550048828125,35,19,8,8,12,2,0,0,3.3873343151693667,0.8843257165570902,0.8877075826703108,17,8,9,-3.533333333333333,290,227,133,650,-34.64059313184372
231,2021-10-21,1644.3900146484375,1646.5,1639.1600341796875,1643.4200439453125,67,34,10,10,7,2,0,0,8.836524300441827,0.8843257165570902,0.8869050328579589,32,10,22,-3.316666666666667,289,196,165,650,-33.84721956008482
232,2021-10-25,1645.0,1645.9100341796875,1631.2900390625,1634.199951171875,54,21,12,12,20,2,0,0,5.007363770250368,0.8867066689380427,0.8861725888657127,19,12,7,-3.2,183,174,294,651,-34.64364012378575
233,2021-10-26,1635.6099853515625,1639.9300537109375,1627.6800537109375,1635.969970703125,42,17,6,5,8,2,0,0,5.007363770250368,0.889087621318995,0.8855159486992704,15,6,9,-3.1083333333333334,198,201,248,647,-35.14115871889074
234,2021-10-27,1632.43994140625,1635.6800537109375,1626.56005859375,1627.6099853515625,43,25,12,12,20,2,0,0,3.3873343151693667,0.894087621318995,0.8850212671015665,23,12,11,-3.025,167,197,279,643,-35.893260151981096
235,2021-10-28,1626.06005859375,1632.300048828125,1622.56005859375,1624.31005859375,45,21,12,12,38,10,3,3,1.0309278350515463,0.9008992155218934,0.8848091941995146,11,9,2,-3.075,162,188,295,645,-36.73213064478896
236,2021-10-29,1626.27001953125,1629.25,1619.1400146484375,1623.4300537109375,36,23,11,10,39,8,1,0,-0.4418262150220913,0.9090341361568142,0.884891433466775,15,10,5,-3.058333333333333,230,186,229,645,-36.65900340237625
237,2021-11-01,1627.5899658203125,1632.72998046875,1611.3900146484375,1613.780029296875,40,25,13,13,73,19,7,6,-4.860088365243004,0.9071690567917349,0.8849986246339873,6,6,0,-3.066666666666667,129,176,342,647,-37.755994665107394
238,2021-11-02,1616.739990234375,1621.68994140625,1608.6400146484375,1617.8900146484375,20,13,7,7,122,28,11,7,-15.022091310751104,0.8989446559202751,0.8850014221919039,-15,-4,-11,-3.125,145,160,344,649,-38.86776120747162
239,2021-11-03,1620.52001953125,1623.0799560546875,1607.719970703125,1611.9200439453125,16,6,2,2,127,29,9,7,-16.347569955817377,0.8853082922839114,0.8847651266915785,-23,-7,-16,-3.2666666666666666,112,141,398,651,-40.28694565885285
240,2021-11-04,1613.449951171875,1627.5699462890625,1607.72998046875,1626.27001953125,19,10,4,2,83,21,9,5,-9.425625920471282,0.8768001337757529,0.8844257132689862,-11,-5,-6,-3.308333333333333,383,162,105,650,-38.98098950629924
241,2021-11-05,1627.449951171875,1628.5999755859375,1619.6199951171875,1626.219970703125,13,8,6,5,33,9,3,2,-2.9455081001472756,0.8743695782201975,0.8840480163706107,-1,3,-4,-3.275,194,216,238,648,-39.43128382889117
